"Method","Path","OperationId","Summary","Parameters"
"GET","/setting/collector/collectors/versions","getCollectorVersionList","get collector version list","fields:query:optional, size:query:optional, offset:query:optional, filter:query:optional"
"GET","/setting/datasources/{dsId}/ographs/{id}","getDataSourceOverviewGraphById","Get datasource overview graph by ID","dsId:path:required, id:path:required"
"GET","/log/partitions/{id}","getPartitionById","Retrieve details of a specific log partition","id:path:required"
"GET","/setting/eventsources","getEventSourceList","Get event source list","format:query:optional, fields:query:optional, size:query:optional, offset:query:optional, filter:query:optional"
"GET","/setting/collector/collectors/{id}/agentloglevels/{component}","getCollectorAgentLogLevelByComponent","get collector agent log level by component","id:path:required, component:path:required"
"GET","/setting/opsnotes","getOpsNoteList","get opsnote list","fields:query:optional, size:query:optional, offset:query:optional, filter:query:optional"
"GET","/device/devices/{id}/historysdts","getSDTHistoryByDeviceId","get SDT history for the device","end:query:optional, netflowFilter:query:optional, start:query:optional, id:path:required, fields:query:optional, size:query:optional, offset:query:optional, filter:query:optional"
"GET","/device/devices/delta/{deltaId}","getDeltaDevices","Get delta devices using deltaId","deltaId:path:required"
"GET","/device/groups/{gid}/properties","getDeviceGroupPropertyList","Get device group properties","gid:path:required, fields:query:optional, size:query:optional, offset:query:optional, filter:query:optional"
"GET","/setting/action/rules","getActionRulesList","Get action rules list",""
"GET","/setting/remediationsources","getRemediationSourcesList","Get remediation sources list",""
"GET","/setting/collector/collectors","getCollectorList","get collector list","fields:query:optional, size:query:optional, offset:query:optional, filter:query:optional"
"GET","/cost-optimization/recommendations/categories","getRecommendationCategoriesList","Get recommendation category list","fields:query:optional, size:query:optional, offset:query:optional, filter:query:optional"
"GET","/device/devices/{id}","getDeviceById","get device by id","end:query:optional, netflowFilter:query:optional, start:query:optional, id:path:required, needStcGrpAndSortedCP:query:optional, fields:query:optional"
"GET","/usage/contractInfo","getContractInfoByCompany","get contract info by company",""
"GET","/device/devices/{id}/flows","getNetflowFlowList","get netflow flows","end:query:optional, netflowFilter:query:optional, start:query:optional, id:path:required, fields:query:optional, size:query:optional, offset:query:optional, filter:query:optional"
"GET","/setting/recipientgroups/{id}","getRecipientGroupById","Get recipient group by id","id:path:required"
"GET","/device/devices/{deviceId}/alertsettings","getDeviceDatasourceInstanceAlertSettingListOfDevice","get a list of alert settings for a device","end:query:optional, netflowFilter:query:optional, start:query:optional, deviceId:path:required, size:query:optional, offset:query:optional"
"GET","/website/websites/{id}","getWebsiteById","get website by id","id:path:required, format:query:optional"
"GET","/setting/logsources","getLogSourceList","Get log source list","format:query:optional"
"GET","/report/groups","getReportGroupList","Get report group list","fields:query:optional, size:query:optional, offset:query:optional, filter:query:optional"
"GET","/device/groups/{deviceGroupId}/clusterAlertConf","getDeviceGroupClusterAlertConfList","get a list of cluster alert configurations for a device group","deviceGroupId:path:required, fields:query:optional, size:query:optional, offset:query:optional, filter:query:optional"
"GET","/device/groups/{id}","getDeviceGroupById","get device group","id:path:required, fields:query:optional"
"GET","/log/logquerygroups","getLogQueryGroupList","Get log query group list",""
"GET","/log/logquerygroups/grouptype/{groupType}","getLogQueryGroupListByGroupType","Get log query groups by groupType","groupType:path:required, allGroups:query:optional"
"GET","/website/groups/{id}","getWebsiteGroupById","get website group","id:path:required"
"GET","/setting/datasources/{id}/devices","getAssociatedDeviceListByDataSourceId","Get devices associated with a datasource","id:path:required, fields:query:optional, size:query:optional, offset:query:optional, filter:query:optional"
"GET","/dashboard/widgets/{id}","getWidgetById","Get widget by ID","id:path:required, fields:query:optional"
"GET","/setting/admins/{adminId}/apitokens","getApiTokenListByAdminId","Get API tokens for a user","adminId:path:required, type:query:optional, permission:query:optional, fields:query:optional, size:query:optional, offset:query:optional, filter:query:optional"
"GET","/report/reports/{id}/tasks/{taskId}","fetchReportUsingTaskId","Get report for task ID","id:path:required, taskId:path:required"
"GET","/setting/collector/collectors/{id}/agentloglevels","getCollectorAgentLogLevels","get collector agent log levels","id:path:required"
"GET","/sdt/sdts","getSDTList","get SDT list","fields:query:optional, size:query:optional, offset:query:optional, filter:query:optional"
"GET","/setting/collector/groups/{id}/collectors","getCollectorsByGroupId","get collectors by collector group id","id:path:required"
"GET","/device/devices/{deviceId}/devicedatasources/{deviceDsId}/groups/{id}","getDeviceDatasourceInstanceGroupById","Get device datasource instance group","deviceDsId:path:required, deviceId:path:required, id:path:required, fields:query:optional"
"GET","/dashboard/groups/{id}","getDashboardGroupById","Get dashboard group by ID","id:path:required, template:query:optional, format:query:optional, fields:query:optional"
"GET","/aws/accountId","getAwsAccountId","Get AWS account ID",""
"GET","/usage/focusCostUsage","getFocusCostUsage","FOCUS Cost and Usage shaped usage export","feature:query:optional, dimensionKey:query:optional, startTime:query:optional, endTime:query:optional, at:query:optional, metricQualifier:query:optional, usageBreakdownType:query:optional, usageBreakdownUnits:query:optional, sku:query:optional, tenantIds:query:optional, size:query:optional, offset:query:optional"
"GET","/device/groups","getDeviceGroupList","get device group list","fields:query:optional, size:query:optional, offset:query:optional, filter:query:optional"
"GET","/setting/collector/groups","getCollectorGroupList","Get collector group list","fields:query:optional, size:query:optional, offset:query:optional, filter:query:optional"
